id,library,method
1,tensorflow,Model()
2,tensorflow,Sequential()
3,sklearn,DecisionTreeClassifier()
4,sklearn,KNeighborsClassifier()
5,sklearn,LogisticRegression()
6,sklearn,MLPClassifier()
7,sklearn,RandomForestClassifier()
8,sklearn,SVC()
9,sklearn,LinearRegression()
10,sklearn,Ridge()
11,sklearn,Lasso()
12,sklearn,ElasticNet()
13,sklearn,SVR()
14,sklearn,LinearSVC()
15,sklearn,KMeans()
16,sklearn,PCA()
17,sklearn,GaussianMixture()
18,sklearn,GradientBoostingClassifier()
19,sklearn,AdaBoostClassifier()
20,sklearn,XGBClassifier()
21,sklearn,LGBMClassifier()
22,sklearn,CatBoostClassifier()
23,torch,SGD()
24,keras,Model()
25,keras,Sequential()

